PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Taurean Prince,MIL,31,5,1,4,12.2,106.3,129.7,-23.4,17,1.6,34.8,0,11.1,4.9,21.7,30,30,10.7,100.44,1.8,128
Jimmy Butler III,GSW,35,11,4,7,36,106.2,114.1,-7.9,24.9,4.38,22.4,6.1,12.5,9.1,5.1,48.4,56.4,21.7,94.78,14.5,787
Davion Mitchell,MIA,26,4,0,4,35.5,106.2,136.5,-30.3,28.7,3.13,32.5,1.4,5.5,3.3,10.4,69.5,68.1,16.8,92.7,9.2,274
Derrick Jones Jr.,LAC,28,7,3,4,18.5,106.2,105.8,0.4,2.5,0.67,3.5,3.8,6.2,5,5.3,50,49.5,18.4,96.38,7.4,259
Austin Reaves,LAL,26,5,1,4,39.3,106.1,116.2,-10.1,16.2,1.29,16.7,2.2,10.6,6.7,13,51.4,53.2,21.2,92.27,7.3,378
Kyle Kuzma,MIL,29,5,1,4,20.4,106,127.2,-21.2,6,1.33,8.9,2.9,10,6,6.7,37.1,38.5,17.1,100.73,0.4,215
Jarred Vanderbilt,LAL,26,5,1,4,12,105.8,104,1.8,12.2,1.67,31.3,7.1,22.1,15.3,18.8,33.3,45.1,8,98.68,8.1,121
Kevon Looney,GSW,29,12,5,7,10,105.7,113.3,-7.5,5,2,12.1,13.2,21.1,17.1,6.1,43.5,49,10,98.86,6.4,244
Kevin Porter Jr.,MIL,25,5,1,4,30.2,105.2,112.9,-7.7,27.8,3,30,1.8,9.6,5.6,10,46.9,52.1,17.9,98.66,8.5,310
Landry Shamet,NYK,28,7,4,3,4.3,105.1,120.7,-15.6,4.3,0.5,11.1,0,3,1.6,22.2,25,26,11.3,93.38,-2.7,59
Draymond Green,GSW,35,12,5,7,32.4,105.1,108.2,-3.1,18.9,1.28,23.6,2.2,14.4,8.3,18.5,46.3,47.9,16.8,94.82,6.4,769
Malik Beasley,DET,28,6,2,4,27.2,104.9,108.9,-4,7.6,1,7.5,0.6,8,4.5,7.5,50.7,53.5,21.9,102.74,8,349
Jarace Walker,IND,21,10,8,2,9.6,104.9,109,-4.2,11,1.6,18.2,0,18.8,9.8,11.4,44.8,45.5,16.3,103.81,5.5,206
Nickeil Alexander-Walker,MIN,26,10,8,2,18.9,104.8,103.5,1.3,16.7,1.47,21,1.1,6.6,3.8,14.3,43.5,48.3,18.3,101.29,4.9,396
Rui Hachimura,LAL,27,5,1,4,36.4,104.6,120.2,-15.5,5.2,0.71,7.1,2.3,9.4,6.1,10,62.3,63.4,16.7,91.36,8.7,346
Santi Aldama,MEM,24,4,0,4,30.4,104.6,118.5,-13.9,9.2,1.4,12.5,1.6,15.4,9,8.9,59.1,59.1,16.6,102.63,9.6,261
Brook Lopez,MIL,37,5,1,4,14.8,104.4,122.4,-18,7.5,1,12.5,4.3,8.6,6.3,12.5,45.5,51.7,16.2,101.71,3,158
Tari Eason,HOU,24,7,3,4,18.9,104.2,112.3,-8.1,7,0.5,8.1,5.2,16.1,10.8,16.1,55.7,55.8,18.3,96.48,10,263
Thomas Bryant,IND,27,10,8,2,9.9,103.8,103.3,0.5,4.1,0.5,10.3,4.9,12,8.7,20.7,64.7,68.7,11.2,101.68,6.6,210
Javonte Green,CLE,31,6,4,2,6.6,103.6,79.1,24.5,8.3,1,11.8,2.3,18.2,10.3,11.8,45,59.3,15.6,102.81,14.9,83
Cory Joseph,ORL,33,5,1,4,24.9,102.9,106.7,-3.8,17.6,7.5,36.6,0.7,6.5,3.5,4.9,52.1,52.1,9.5,92.06,6.5,239
Andrew Wiggins,MIA,30,4,0,4,30.6,102.5,135.9,-33.3,11.7,0.82,13.2,3.3,8.2,5.6,16.2,45.3,48.5,22.3,92.84,4.2,236
Franz Wagner,ORL,23,5,1,4,38.9,102.4,115.1,-12.7,30.1,2.8,17.1,1.4,12.1,6.3,6.1,47.4,51,31.6,91.63,13.5,372
Russell Westbrook,DEN,36,13,6,7,24.1,102.3,118.2,-15.9,18.6,1.13,15.8,5.3,9.1,7.1,14,46.6,50.5,23.4,99.23,6.1,645
Kentavious Caldwell-Pope,ORL,32,5,1,4,32.7,102.2,114.6,-12.4,7.8,4.5,21.4,0.6,9.2,4.6,4.8,36.7,39.4,9.2,92.28,3.7,313
Vince Williams Jr.,MEM,24,3,0,3,12.5,102.2,100,2.2,15.4,1.33,26.7,2.6,14.6,8.9,20,85.7,88.8,11,113.11,11.1,90
Scotty Pippen Jr.,MEM,24,4,0,4,32.2,101.9,124.5,-22.7,18.9,1,14.7,2.9,12.8,7.9,14.7,46.6,55,26.4,100.95,7.9,268
Anthony Black,ORL,21,5,1,4,17.7,101.8,123.1,-21.3,0,0,0,10.6,16.2,13.1,4.5,43.2,48,21.7,91.1,9,167
Jonathan Kuminga,GSW,22,8,3,5,23.4,101.5,117.3,-15.8,10.2,0.77,7.7,3.6,7.8,5.5,10,53.8,57.2,26.7,99.03,9.9,392
Jabari Smith Jr.,HOU,22,7,3,4,20.5,101.4,104.2,-2.8,4.7,0.4,7.5,4.4,13.9,8.9,18.9,64.7,67.7,13.8,96,9.9,286
